Language,String,Marathi,Hindi,Malayalam ,Nepali,Bengali,Gujarati,Punjabi,Tamil,Odia,Telugu,Kannada,Assamese,Khasi,Urdu
Image 7,1,दावा:,दावा:,വാദം: ,दावी:,দাবী:,દાવો:,ਦਾਅਵਾ:,கூற்று:,ଦାବି:,ఆరోపణ:,ದಾವೆ:,দাবী :,Ka jingkam ka bym shisha:,دعویٰ :
,2,योगासने केल्याने माझे कोविड-१९ पासून संरक्षण होऊ शकते.,योगाभ्यास मेरी कोरोना विषाणु से रक्षा करेगा।,യോഗ പരിശീലിക്കുന്നത് എന്നെ അണുബാധയിൽ നിന്ന് സംരക്ഷിക്കും.,"योगको अभ्यास  गर्नाले मलाई कोरोना भाईरसको संक्रमण हुदैन।",যোগব্যয়াম এই ভাইরাসের সংক্রমণ থেকে আমাদের রক্ষা করবে। ,યોગાભ્યાસ કરવો મને કોરોના વાયરસ ચેપથી સુરક્ષિત કરશે.,ਯੋਗ ਦਾ ਅਭਿਆਸ ਕਰਨਾ ਮੈਨੂੰ ਕੋਰੋਨਵਾਇਰਸ ਦੀ ਲਾਗ ਤੋਂ ਬਚਾਏਗਾ.,"யோகா பயிற்சி செய்வது கொரோனா வைரஸ் தொற்றிலிருந்து
என்னைப் பாதுகாக்கும்.","ଯୋଗ ଅଭ୍ୟାସ କରିବା ମୋତେ କରୋନା ଭାଇରସ୍ ସଂକ୍ରମଣରୁ ରକ୍ଷା କରିବ |
",యోగా చేయడం వల్ల నాకు కరోనావైరస్ )ఇన్ఫెక్షన్( నుంచి రక్షణ ఉంటుంది.,ಯೋಗಾಭ್ಯಾಸವು ಕರೋನವೈರಸ್ ಸೋಂಕಿನಿಂದ ನನ್ನನ್ನು ರಕ್ಷಿಸುತ್ತದೆ.,শাৰীৰিক ব্যায়াম বা য়োগা ইত্যাদিয়ে মোক Covid-19 ৰ পৰা বচাব।,Kaba pynmlien ban leh Yoga kan їada їa nga na ka jingpynbit jingpang coronavirus.,یوگا کی مشق کورونا وائرس جیسے متعدی مرض سے بچا سکتی ہے۔
,3,निर्णय:,निर्णय:,ശാസ്ത്രീയ പ്രതികരണം:,निर्णय :,উত্তর:,નિષ્કર્ષ:,ਜਵਾਬ:,தீர்ப்பு:,ନିର୍ଣୟ :,తీర్పు:,ತೀರ್ಪು:,উত্তৰ :,Ka jingshem:,فیصلہ:
,4,बहुतेक शक्य नाही,असत्य होने कि तीव्र संभावना,മിക്കവാറും തെറ്റാണ്,सम्भवत: सत्य होइन।,খুব সম্ভবত ঠিক নয়,મોટે ભાગે ખોટી ,ਗ਼ਲਤ ਹੋ ਸਕਦਾ ਹੈ,பெரும்பாலும் உண்மையல்ல,ଦୃଢ ସମ୍ଭାବ୍ୟ ମିଥ୍ୟା,చాలా మటుకు అబద్ధాలే,ಬಹುಪಾಲು ತಪ್ಪು,সম্ভবত মিছা ।,Ka Lam Bakla ,فیصلہ: امکانی طور پر یہ غلط ہے
,5,(पुरेसा पुरावा नाही),(पर्याप्त सबूत नहीं है),(കൂടുതൽ തെളിവുകൾ ആവശ്യമാണ്),(पर्याप्त प्रमाण छैन),(আরো তথ্য প্রমাণ প্রয়োজন),(વધુ પુરાવા જરૂરી),(ਕਾਫ਼ੀ ਸਬੂਤ ਨਹੀਂ ਹੈ),(போதுமான சான்றுகள் தற்போது இல்லை),(ପର୍ଯ୍ୟାପ୍ତ ପ୍ରମାଣ ନାହିଁ),(తగిన ఆధారాలు లేవు),(ಸಾಕಷ್ಟು ಪುರಾವೆಗಳಿಲ್ಲ),(পর্যাপ্ত প্ৰমাণ নাই),(ym don ki sakhi kiba biang),(اسکے لیے اور ثبوت چاہیے ہونگے)
,6,का?:,क्यों?:,എന്തുകൊണ്ട്?,किन?,কারণ:,શા માટે:,ਕਿਉਂ:,ஏன்:,କାହିଁକି:,ఎందుకు:,ಏಕೆ:,কিয়? :,Balei?,کیوں
,7,इतर व्यायाम पद्धतींप्रमाणेच योगासने केल्याने शरीर निरोगी व तणावमुक्त राहू शकते. निरोगी व्यक्ती कोणत्याही आजारापासून लवकर बऱ्या होऊ शकतात. पण “योगासने केल्याने कोविड-१९ पासून संरक्षण होते” यासाठी कोणताही पुरावा नाही.,"व्यायाम की अन्य शैलियों के समान, नियमित योगाभ्यास आपको तंदरुस्त और स्वस्थ रहने रहने में मदद करता है, और तनाव भी काम करता है। स्वस्थ व्यक्तियों की किसी भी बीमारी से ठीक होने की संभावना ज़्यादा होती है। लेकिन इस बात कोई प्रमाण नहीं है कि नियमित योगाभ्यास से COVID संक्रमण की संभावना कम हो जाती है","മറ്റ് വ്യായാമങ്ങൾ പോലെ, പതിവായി യോഗ പരിശീലിക്കുന്നത് നിങ്ങളെ ആരോഗ്യവതിയായിരിക്കുവാനും സമ്മർദ്ദം കുറയ്ക്കുവാനും സഹായിക്കും.  പക്ഷേ, യോഗ പരിശീലിക്കുന്നവർക്ക്  നോവൽ കൊറോണ വൈറസ് പിടിപെടാനുള്ള സാധ്യത കുറവാണെന്നതിന് തെളിവുകളൊന്നുമില്ല. ആരോഗ്യമുള്ളവർ ഏതു രോഗത്തിൽ നിന്നും വേഗം സുഖപ്പെടാനുള്ള സാധ്യത കൂടുതലാണ്.","अन्य व्यायाम जस्तै, नियमित योगको अभ्यास गर्दा यसले तपाइलाई तन्दरुस्त र स्वस्थ राख्दछ साथै तनावलाई काम गर्छ। सामान्यत: स्वस्थ व्यक्तिलाई कुनै रोग लागे चाडै निको हुने सम्भावना हुन्छ। तर, योग अभ्यासले बिशेसत:  कोभिड-१९ को संक्रमणलाई घटाउने भन्ने कुराको कुनै प्रमाण भेटिदैन।","অন্য যেকোনো ধরনের শরীরচর্চার মতোই নিয়মিত যোগচর্চা মানুষকে কর্মক্ষম, 
সুস্থ রাখে, মানসিক চাপ কমায়। একজন স্বাস্থ্যবান মানুষের যে কোনো রোগ 
প্রতিরোধ করার ক্ষমতা  বেশি। কিন্তু কেবলমাত্র যোগব্যয়াম করলেই যে নভেল করোনা ভাইরাসের সংক্রমণ কমানো সম্ভব এমন  কোনো তথ্য প্রমাণ নেই।","કસરતના અન્ય સ્વરૂપોની જેમ, યોગનો નિયમિત અભ્યાસ કરવો તમને ફીટ અને સ્વસ્થ રાખે છે અને તાણ ઘટાડે છે. તંદુરસ્ત વ્યક્તિઓમાં સામાન્ય રીતે કોઈપણ રોગથી પુન: પ્રાપ્તિ થવાની સંભાવના વધારે હોય છે. પરંતુ, ત્યાં કોઈ પુરાવા નથી કે યોગનો અભ્યાસ કરવાથી ખાસ કરીને કોવિડ ઇન્ફેક્શનની સંભાવના ઓછી થાય છે.","ਕਸਰਤ ਦੇ ਹੋਰ ਤਰੀਕਿਆਂ ਵਾਂਗ, ਨਿਯਮਿਤ ਯੋਗਾ ਦਾ ਅਭਿਆਸ ਕਰਨਾ ਤੁਹਾਨੂੰ ਤੰਦਰੁਸਤ ਰੱਖਦਾ ਹੈ ਅਤੇ ਤਣਾਅ ਨੂੰ ਘਟਾਉਂਦਾ ਹੈ. ਸਿਹਤਮੰਦ ਵਿਅਕਤੀਆਂ ਵਿੱਚ ਆਮ ਤੌਰ ਤੇ ਕਿਸੇ ਬਿਮਾਰੀ ਤੋਂ ਠੀਕ ਹੋਣ ਦੀ ਵਧੇਰੇ ਸੰਭਾਵਨਾ ਹੁੰਦੀ ਹੈ. ਪਰ, ਇਸ ਗੱਲ ਦਾ ਕੋਈ ਸਬੂਤ ਨਹੀਂ ਹੈ ਕਿ ਯੋਗਾ ਦਾ ਅਭਿਆਸ ਕਰਨਾ ਖਾਸ ਤੌਰ 'ਤੇ ਕੋਵਿਡ ਦੀ ਲਾਗ ਦੀ ਸੰਭਾਵਨਾ ਨੂੰ ਘਟਾਉਂਦਾ ਹੈ."," மற்ற வகையான உடற்பயிற்சிகளைப் போலவே, யோகாவைப்
பயிற்சி செய்வதும் உடல் ஆரோக்கியத்துக்கு நல்லது, மற்றும்
மன அழுத்தத்தைக் குறைக்கும் . ஆரோக்கியமான நபர்கள்
பொதுவாக எந்தவொரு நோயிலிருந்தும் மீள கூடுதல் வாய்ப்பு உள்ளது.
ஆனால், யோகா பயிற்சி குறிப்பாக கோவிட் -19 நோய்த்தொற்றுக்கான வாய்ப்பைக் குறைக்கிறது என்பதற்கு எந்த ஆதாரமும் இல்லை.
","ଅନ୍ୟାନ୍ୟ ବ୍ୟାୟାମ ପରି, ନିୟମିତ ଭାବରେ ଯୋଗ ଅଭ୍ୟାସ  କରିବା ଆପଣଙ୍କୁ  ସୁସ୍ଥ ରଖେ ଏବଂ ମନ କୁ ଚିନ୍ତାମୁକ୍ତ କରିବାରେ ସାହାଯ୍ୟ କରେ | ସୁସ୍ଥ ବ୍ୟକ୍ତିମାନଙ୍କର ସାଧାରଣତଃ  ଯେକୌଣସି ରୋଗରୁ ପୁନରୁଦ୍ଧାର ହେବାର ଅଧିକ ସମ୍ଭାବନା ଥାଏ | କିନ୍ତୁ, କୌଣସି ପ୍ରମାଣ ନାହିଁ ଯେ ଯୋଗ ଅଭ୍ୟାସ କରିବା ଦ୍ୱାରା  COVID-19 ସଂକ୍ରମଣର ସମ୍ଭାବନା କମିଯାଏ |","ఇతర రకాల వ్యాయామాల మాదిరిగానే, యోగా క్రమం తప్పకుండా చేయడం వల్ల మిమ్మల్ని ఫిట్ గా మరియు హెల్తీగా ఉంచుతుంది మరియు ఒత్తిడిని తగ్గిస్తుంది. ఆరోగ్యవంతులైన వ్యక్తులకు సాధారణంగా ఏదైనా వ్యాధి నుంచి రికవరీ అయ్యే అవకాశం ఎక్కువగా ఉంటుంది. కానీ, యోగా చేయడం వల్ల ప్రత్యేకంగా కోవిడ్ ఇన్ఫెక్షన్ వచ్చే అవకాశాన్ని తగ్గిస్తుందని ఎలాంటి ఆధారాలు లేవు.","ಇತರ ರೀತಿಯ ವ್ಯಾಯಾಮಗಳಂತೆ, ನಿಯಮಿತವಾದ ಯೋಗಾಭ್ಯಾಸವು ನಿಮ್ಮನ್ನು ಸದೃಢ ಮತ್ತು ಆರೋಗ್ಯವಾಗಿರಿಸುತ್ತದೆ ಮತ್ತು ಮಾನಸಿಕ ಒತ್ತಡವನ್ನು ಕಡಿಮೆ ಮಾಡುತ್ತದೆ. ಆರೋಗ್ಯವಂತ ವ್ಯಕ್ತಿಗಳು ಸಾಮಾನ್ಯವಾಗಿ ಯಾವುದೇ ಕಾಯಿಲೆಯಿಂದ ಚೇತರಿಸಿಕೊಳ್ಳುವ ಸಾಧ್ಯತೆ ಹೆಚ್ಚು. ಆದರೆ, ಯೋಗಾಭ್ಯಾಸವು ನಿರ್ದಿಷ್ಟವಾಗಿ COVID ಸೋಂಕಿನ ಸಾಧ್ಯತೆಯನ್ನು ಕಡಿಮೆ ಮಾಡುತ್ತದೆ ಎಂಬುದಕ್ಕೆ ಯಾವುದೇ ಪುರಾವೆಗಳಿಲ್ಲ.","ব্যায়াম, য়োগা ইত্যাদিয়ে মানুহক সুস্থ-সবল কৰি ৰাখে আৰু মানসিক চাপ কমাই ৰাখে। এনে লোকে সাধাৰণতে সোনকালে ৰোগৰ পৰা আৰাম পায়। কিন্তু ইয়াৰ কোনো প্ৰমাণ নাই যে য়োগা কৰিলে Covid-19ৰ দ্বাৰা আক্ৰান্ত হোবাৰ সম্ভাৱনা কম হয়।","Kumba long kiwei pat ki kilan met, kaba pynmlien ban leh Yoga barabor ka pynlong їa phi ban shait ban khlaiñ bad duna ka jingban khia ka jingmut jingpyrkhat. Ki briew kiba shait ba khlaiñ, bunsien ki kham koit kloi na kino kino ki jingpang. Hynrei, ym don ki sakhi ba biang ban ong ba tang kaba pynmlien ban leh Yoga hi ka lah ban pynduna na ka jingїabit jong ka COVID.",الگ الگ ورزشی مشق کی طرح ، یوگا ہمیں روزانہ یک دم چست و درست رکھتا ہے اور تناؤ کو کم کرتا ہے۔ ایک صحت مند انسان کے پاس کسی مرض سے جلد صحتیاب ہونے کے زیادہ مواقع ہوتے ہیں۔لیکن ایسا کوئی بھی ثبوت نہیں ہے کہ خاص طور پہ یوگا کووڈ کے مضر اثرات کو کم کرتا ہے۔
Image 8,1,दावा:,दावा:,വാദം: ,दावी:,দাবী:,દાવો:,ਦਾਅਵਾ:,கூற்று:,ଦାବି:,ఆరోపణ:,ದಾವೆ:,দাবী :,Ka jingkam ka bym shisha:,دعویٰ :
,2,भारतात सध्या हवामान उष्ण असल्यामुळे कोविड-१९ फार दूरपर्यंत पसरणार नाही.,यह विषाणु भारत में ज़्यादा फैल नहीं सकता क्योंकि भारत एक गर्म देश है।,ഇപ്പോൾ നമുക്ക് ചൂടുള്ള കാലാവസ്ഥ ആയതിനാൽ വൈറസ് ഇന്ത്യയിൽ വ്യാപകമായി പടരാൻ ഇടയില്ല.,"भारतको उस्ण मौसमले गर्दा कोरोना भाईरस भारतमा ज्यादा फैलन सक्दैन।","এই ভাইরাসটি ভারতবর্ষে  ব্যাপক বিস্তার লাভ করতে পারবে না যেহেতু আমাদের 
আবহাওয়া উষ্ণ প্রকৃতির।",ભારતમાં ગરમ વાતાવરણ હોવાથી આપણે વાયરસનો વ્યાપક પ્રમાણમાં ફેલાવો થઈ શકતો નથી.,ਵਾਇਰਸ ਭਾਰਤ ਵਿਚ ਬਹੁਤ ਜ਼ਿਆਦਾ ਫੈਲ ਨਹੀਂ ਸਕਦਾ ਕਿਉਂਕਿ ਸਾਡੇ ਕੋਲ ਗਰਮ ਮੌਸਮ ਹੈ.," நமக்கு வெப்பமான வானிலை இருப்பதால் இந்த வைரஸ்
இந்தியாவில் பரவலாக பரவ முடியாது.

", ଆମର ଉଷ୍ମ ପାଗ ଥିବାରୁ ଏହି ଭୁତାଣୁ ଭାରତରେ ଅଧିକ ବିସ୍ତାର ହୋଇପାରିବ ନାହିଁ।,మనం వేడిగా ఉండే వాతావరణం ఉండటం వల్ల వైరస్ భారతదేశంలో విస్త్రృతంగా వ్యాప్తి చెందుతుంది.,ನಮ್ಮಲ್ಲಿ ಬೆಚ್ಚನೆಯ ಹವಾಮಾನ ಇರುವುದರಿಂದ ವೈರಸ್ ಭಾರತದಲ್ಲಿ ಹೆಚ್ಚು ವ್ಯಾಪಕವಾಗಿ ಹರಡಲು ಸಾಧ್ಯವಿಲ್ಲ.,গৰম বতৰৰ বাবে ভাৰতত Covid-19 ভাইৰাছ বহল ৰূপত বিস্তাৰিত হব নোবাৰে।,U virus um lah ban pur bad saphriang stet ha ri India namar ngi don їa ka jinglong ka suinbneng kaba syaid.,یہ وائرس ہندوستان میں نہیں پھیل سکتا ہے کیونکہ یہاں کا موسم گرم ہے۔
,3,निर्णय:,निर्णय:,ശാസ്ത്രീയ പ്രതികരണം:,निर्णय :,উত্তর:,નિષ્કર્ષ:,ਜਵਾਬ:,தீர்ப்பு:,ନିର୍ଣୟ :,తీర్పు:,ತೀರ್ಪು:,উত্তৰ :,Ka jingshem:,فیصلہ:
,4,बहुतेक शक्य नाही,असत्य होने कि तीव्र संभावना,മിക്കവാറും തെറ്റാണ്,सम्भवत: सत्य होइन।,খুব সম্ভবত ভুল,મોટે ભાગે ખોટી,ਗਲਤ ਹੋਣ ਦੀ ਸੰਭਾਵਨਾ ਹੈ,பெரும்பாலும் உண்மையல்ல,ଦୃଢ ସମ୍ଭାବ୍ୟ ମିଥ୍ୟା,చాలా మటుకు అబద్ధాలే,ಬಹುಪಾಲು ತಪ್ಪು,সম্ভবত মিছা ।,Ka Lam Bakla ,فیصلہ: امکانی طور پر یہ غلط ہے
,5,(पुरेसा पुरावा नाही),(पर्याप्त सबूत नहीं है),(കൂടുതൽ തെളിവുകൾ ആവശ്യമാണ്),(पर्याप्त प्रमाण छैन),(অপর্যাপ্ত তথ্য প্রমাণ),(વધુ પુરાવા જરૂરી),(ਕਾਫ਼ੀ ਸਬੂਤ ਨਹੀਂ ਹਨ),(போதுமான சான்றுகள் தற்போது இல்லை),(ପର୍ଯ୍ୟାପ୍ତ ପ୍ରମାଣ ନାହିଁ),(తగిన ఆధారాలు లేవు),(ಸಾಕಷ್ಟು ಪುರಾವೆಗಳಿಲ್ಲ),(পর্যাপ্ত প্ৰমাণ নাই),(ym don ki sakhi kiba biang),(نا کافی ثبوت)
,6,का?:,क्यों?:,എന്തുകൊണ്ട്?,किन?,কারণ:,શા માટે:,ਕਿਉਂ:,ஏன்:,କାହିଁକି:,ఎందుకు:,ಏಕೆ:,কিয়? :,Balei?,کیوں
,7,"खूप जास्त तापमानामुळे विषाणू मरतात (उदा. उकळवल्याने विषाणू मरतात ),  हे जरी  खरे असले तरी उन्हाळ्यातलं  तापमान कोविड-१९ साठी  मारक असेल का, याबद्दल अस्पष्टता आहे.   त्यामुळे, भारतात कोविड-१९ उन्हाळ्यात पसरणार नाही असे गृहीत धरणे आरोग्याच्या दृष्टीने सुरक्षित नाही. 
ऋतुमानानुसार ह्या कोरोना विषाणूवर काय परिणाम होतील हे आत्ताच सांगणे शक्य नाही.
","यह तो सही है कि बहुत अधिक तापमान इस विषाणु को नष्ट कर देता है (जैसे उबालते समय), पर क्या गर्मियों में बाहर का तापमान इसे नष्ट कर देने के लिए काफी होगा, यह पता नहीं।  इस कारण, अपनी और सबकी सुरक्षा के लिए, हमें यह मान कर नहीं कर चलना चाहिए कि भारत पर इसका प्रभाव कम होगा।  

मौसम के साथ तापमान में बदलाव आने का कोरोना विषाणु पर क्या प्रभाव पड़ेगा यह किसी को पता नहीं है।","വളരെ ഉയർന്ന താപനില (ഉദാ: തിളച്ച വെള്ളം) വൈറസിനെ നശിപ്പിക്കുമെങ്കിലും, വേനൽക്കാല താപനിലയിൽ അത് സംഭവിക്കുമെന്നതിന്  വ്യക്തമായ തെളിവുകളില്ല. അതിനാൽ ഇന്ത്യയെ വലുതായി ബാധിക്കുകയില്ല എന്ന് കരുതുന്നത് സുരക്ഷിതമല്ല. കാലാവസ്ഥ ഈ കൊറോണ വൈറസിനെ എങ്ങനെ ബാധിക്കും എന്ന് ആർക്കും കൃത്യമായി അറിയില്ല.","यद्यपि उच्च तापक्रमले (जस्तै पानी वा दुध उमल्दा) भाईरसलाई नष्ट गर्छ, गर्मी मौसमको बाहिरी तापक्रम भाईरस नष्ट गर्न पर्याप्त भए नभएको कुनै निश्चित बुझाई छैन। त्यसैले, भारतमा  कम संक्रमण हुन्छ भनेर बस्नु सुरक्षित छैन। मौसमी तापक्रमको बदलावको कोरोना भाईरसमा असर पर्ने वा नपर्ने बारे हालसम्म कुनै जानकारी छैन।","যদিও অতিরিক্ত তাপমাত্রা (যেমন - ফোটানোর সময় আগুনের আঁচ)  অবশ্যই ভাইরাসকে  
মেরে দেয় - তবে গরমকালের বাহ্যিক পরিবেশের তাপমাত্রা এর জন্য যথেষ্ট কিনা তা এখনও জানা নেই। অতএব, ভারতবর্ষ যে এই ভাইরাস দ্বারা কম আক্রান্ত হবে সেটা ধরে নেওয়া  নিরাপদ নয়।এই করোনা ভাইরাসটির গতিবিধি ঋতু এবং তাপমাত্রার পরিবর্তনের সাথে কিভাবে পরিবর্তিত হয় তা এখনও অজানা।","તાપમાનમાં ફેરફાર સાથે આ કોરોના વાયરસનું શું થાય છે તે કોઈને ખાતરી માટે નથી. તેમ છતાં ગરમ તાપમાને વાયરસનો નાશ થાય છે (દા.ત. ઉકળતા દરમિયાન), કે કેમ તે સ્પષ્ટ નથી. આથી, એવું માનવું સલામત નથી કે તેથી ભારતને ઓછી અસર થશે. આ કોરોનાવાયરસ પર seasonતુ તાપમાનમાં ફેરફારની અસર જાણી શકાતી નથી.","ਗਰਮੀਆਂ ਵਿਚ ਵੱਧ ਰਹੇ ਤਾਪਮਾਨ ਨਾਲ ਇਸ ਕੋਰੋਨਾਵਾਇਰਸ ਦਾ ਕੀ ਹੁੰਦਾ ਹੈ ਇਸ ਬਾਰੇ ਕੋਈ ਨਹੀਂ ਜਾਣਦਾ. ਹਾਲਾਂਕਿ ਬਹੁਤ ਜ਼ਿਆਦਾ ਤਾਪਮਾਨ ਵਾਇਰਸ ਨੂੰ ਮਾਰਦਾ ਹੈ (ਜਿਵੇਂ ਕਿ ਉਬਲਦੇ ਸਮੇਂ), ਇਹ ਸਪਸ਼ਟ ਨਹੀਂ ਹੈ ਕਿ ਬਾਹਰੀ ਗਰਮੀ ਦੇ ਤਾਪਮਾਨ ਕਾਫ਼ੀ ਹਨ ਜਾਂ ਨਹੀਂ. ਇਸ ਲਈ, ਇਹ ਮੰਨਣਾ ਸੁਰੱਖਿਅਤ ਨਹੀਂ ਹੈ ਕਿ ਭਾਰਤ ਘੱਟ ਪ੍ਰਭਾਵਿਤ ਹੋਏਗਾ.","பருவகால வெப்பநிலை மாற்றங்களுக்கு ஏற்ப கொரோனா வைரஸ் தாக்கம் எத்தகைய மாற்றம் பெரும் என்பதை உறுதியாக கூறமுடியாது. நீர் கொதிநிலை போல கூடுதல் வெப்பநிலையில் நாவல் கொரோனா வைரஸ் செயலிழந்து விடும் என்றாலும் கோடை கால வெப்பநிலை இந்த வைரசை அழிக்க போதுமானதா என்பது தெளிவாகத் தெரியவில்லை. எனவே கோடை வெயிலின் காரணமாக இந்தியாவில் இந்த வைரஸின் தாக்கம் குறைவாக அமையும் என்று கருதி அலட்சியமாக இருப்பது பாதுகாப்பானது அல்ல. நாவல் கொரோனா வைரஸ் மீது பருவ கால வெப்ப நிலை மாற்றத்தின் விளைவு என்ன என்பது தெரியாது.
","ଯଦିଓ ଅତ୍ୟଧିକ ତାପମାତ୍ରା ଭୁତାଣୁମାନଙ୍କୁ ମାରିଦିଏ (ଯଥା ପାଣିରେ ଫୁଟାଇବା  ସମୟରେ), ବାହ୍ୟ ଗ୍ରୀଷ୍ମର ତାପମାତ୍ରା ଏଥିପାଇଁ ଯଥେଷ୍ଟ ଅଧିକ କି ନାହିଁ ତାହା ସ୍ପଷ୍ଟ ହୋଇନାହିଁ | ତେଣୁ, ଭାରତ କମ୍ ପ୍ରଭାବିତ ହେବ ବୋଲି ଅନୁମାନ କରିବା ନିରାପଦ ନୁହେଁ।
 ଏହି କରୋନା ଭାଇରସ୍ ଉପରେ ଋତୁକାଳୀନ ତାପମାତ୍ରାର ପ୍ରଭାବ ଜଣା ନାହିଁ |
","చాలా అధిక ఉష్ణోగ్రత వైరస్ ను చంపుతున్నప్పటికీ (ఉదా. ఉడికించేటప్పుడు), బాహ్య వేసవి ఉష్ణోగ్రతలు తగినంతగా అధికంగా ఉన్నాయో లేదో స్పష్టంగా తెలియదు. అందువల్ల, భారతదేశం తక్కువగా ప్రభావితం అవుతుందని భావించటం సురక్షితం కాదు. ఈ కరోనోవిరస్ పై ఉష్ణోగ్రత )సీజనల్ టెంపరేచర్( మార్పుల ప్రభావం అంతగా తెలియదు.","ಅತಿ ಹೆಚ್ಚಿನ ತಾಪಮಾನವು (ಉದಾ. ಕುದಿಯುವಾಗ) ವೈರಸ್ ಅನ್ನು ಕೊಲ್ಲುತ್ತದೆಯಾದರೂ, ಹೊರಗಿನ ಬೇಸಿಗೆಯ ತಾಪಮಾನವು ಇದಕ್ಕೆ ಸಾಕು ಎಂಬುದು ಸ್ಪಷ್ಟವಾಗಿಲ್ಲ. ಆದ್ದರಿಂದ, COVID ಭಾರತದ ಮೇಲೆ ಕಡಿಮೆ ಪರಿಣಾಮ ಬೀರುತ್ತದೆ ಎಂದು ಭಾವಿಸುವುದು ಸುರಕ್ಷಿತವಲ್ಲ.ಕಾಲೋಚಿತ ತಾಪಮಾನ ಬದಲಾವಣೆಗಳೊಂದಿಗೆ ಈ ಕರೋನವೈರಸ್ ಏನಾಗುತ್ತದೆ ಎಂದು ಯಾರಿಗೂ ಖಚಿತವಾಗಿ ತಿಳಿದಿಲ್ಲ.","বহুত বেছি তাপ, যেনে : উতলোৱা,আদিয়ে ভাইৰাছটোক নষ্ট কৰে যদিও এইটো স্পষ্ট নহয় যে ঘৰৰ বাহিৰৰ গৰমৰ দিনৰ তাপে এই ভাইৰাছবিধক নষ্ট কৰিব পাৰে নে নোৱাৰে। গতিকে এইটো নিৰাপদে মানি লব নোৱাৰি যে ভাৰতত COVID-19 প্ৰভাৱ কম পৰিব।","Watla ka jingskhluit ka bajur ka pynїap їa ki virus (kum haba phon ha um thnam), hynrei kam long thikna pat la ka jingshit ha ka por lyiur ka biang ne em ban pynїap їa ki virus. Kumta, kam long kaba shngain ban antad ba ka India kan ym shah ktah than. Ym pat tip haduh katno ka jingkylla jong ka jingshit jingkhriat ha ki aїom kan ktah їa ka u coronavirus.","اگرچہ بہت زیادہ درجہ حرارت وائرس کو مار دیتا ہے(مثال کے طور پر پانی کو ابالنا) ، یہ اتنا صاف نہیں ہے کہ باہر کا درجہ حرارت کافی زیادہ ہے۔ لہذا ، ایسا فرض کرنا صحیح نہیں ہےکہ ہندوستان پر اسکا اثر کم ہوگا۔
موسمی درجہ حرارت میں بدلاؤ کا اس وائرس پر کیا اثر ہوتا ہے یہ کوئی نہیں جانتا۔"
Image 9,1,दावा:,दावा:,വാദം: ,दावी:,দাবী:,દાવો:,ਦਾਅਵਾ:,கூற்று:,ଦାବି:,ఆరోపణ:,ದಾವೆ:,দাবী :,Ka jingkam ka bym shisha:,دعویٰ :
,2,कोविड-१९ काही जादूटोणा किंवा तत्सम उपायांनी बरा होऊ शकतो.,"कोविड-१९ के कुछ चमत्कारी उपचार हैं। 
",കോവിഡ്-19-നെ ചികിത്സിക്കുന്നതിനു ചില അത്ഭുത മരുന്നുകളുണ്ട്.,"कोभिड-१९ का केहि चमत्कारिक उपचार पद्धती छन्।
",কোভিড-১৯ এর নিরাময়ের জন্য কিছু অলৌকিক পন্থা আছে।,કોવિડ -19 માટે કેટલાક ચમત્કાર ઉપાય છે.,ਕੋਵਿਡ -19 ਲਈ ਕੁਝ ਚਮਤਕਾਰੀ ਉਪਾਅ ਹਨ.,"கோவிட் -19 நோயுக்கு சில அற்புத சிகிச்சைகள் உள்ளன.","COVID-19 ପାଇଁ କିଛି ଚମତ୍କାର ଉପଶମ ଅଛି |
",కరోనా వ్యాధి నుండి రక్షించడం కోసం కొన్ని అద్భుత మందులు మరియు విధానాలు వున్నాయి.,,COVID-19 ৰ কিছুমান বিস্ময়কাৰী পৰিকাৰ আছে।,Don katto katne ki rukom pynkhiah baphylla їa ka COVID-19.,کوویڈ – ١٩ کے کئی معجزی علاج ہیں۔
,3,निर्णय:,निर्णय:,ശാസ്ത്രീയ പ്രതികരണം:,निर्णय :,উত্তর:,નિષ્કર્ષ:,ਜਵਾਬ:,தீர்ப்பு:,ନିର୍ଣୟ :,తీర్పు:,ತೀರ್ಪು:,উত্তৰ :,Ka jingshem:,فیصلہ:
,4,खरं नाही.,असत्य / झूठ !,ശരിയല്ല!,"सत्य होइन।",সত্য নয়।,સાચું નથી!,ਗਲਤ!,உண்மை இல்லை!,ସତ ନୁହେଁ!,ఇది నిజం కాదు!,ನಿಜವಲ್ಲ!,মিছা !,Kam dei kaba shisha!,یہ سچ نہیں ہے۔
,5,,,,,,,,,,,,,,
,6,का?:,क्यों?:,എന്തുകൊണ്ട്?,किन?,কারণ:,શા માટે:,ਕਿਉਂ:,ஏன்:,କାହିଁକି:,ఎందుకు:,ಏಕೆ:,কিয়? :,Balei?,کیوں
